claim_id,domain,short_name,formal_statement,source_audits,canonical_version,evidence_class,mathematical_status,novelty_status,closest_prior_literature,literature_review_status,proof_location,source_url,computational_support,assumptions_scope,allowed_claim,forbidden_overclaim,physical_status,target_manuscript,editorial_action,priority,repository_status,next_action
MF-R011,Perturbation sensitivity,Single-edge flip changes the n=5 condensation preorder with probability 75/256,"Under the uniform distribution over ordered pairs (G,e), where G is a loopless labeled n=5 digraph and e one of 20 directed non-loop edges, P[C(G) != C(G triangle e)] = 75/256.","A8, A8.1",A8.1 verifies both encodings,EXACT_ENUMERATION,EXACT_FINITE_COMPUTATION,POTENTIALLY ORIGINAL FINITE STATISTIC,Random digraph perturbation and reliability of reachability,DEDICATED NOVELTY SEARCH REQUIRED,audits/a8_1_exact_results/a8_1_summary.json,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/audits/a8_1_exact_results/a8_1_summary.json,"20,971,520 graph-edge pairs; 6,144,000 changes under both full and representative codes.",Uniform n=5 loopless labeled digraphs and uniform directed edge toggle.,The fraction is exactly 75/256 for the declared finite ensemble.,"A general formula, limiting probability, or universal robustness constant.",COMBINATORIAL ONLY,COMBINATORICS,KEEP AS OPEN-PROBLEM MOTIVATION,P0,IN_REPOSITORY,Define P_n formally and seek a combinatorial decomposition or asymptotic theorem.
MF-R012,Relational clocks,Candidate clocks are monotone on comparable pairs,"Longest-chain depth, down/up balance, and mean linear-extension position increase strictly along comparable elements in the audited condensation posets.",A9,A9 canonical legacy,PROOF/ALGORITHMIC CHECK + EXACT_ENUMERATION,FINITE-CASE VERIFIED; GENERAL PARTS MOSTLY STANDARD,MOSTLY CLASSICAL POSITIVITY/MONOTONICITY,"Poset rank functions, linear extensions, order-preserving maps",CLASSICAL ATTRIBUTION AND GENERAL PROOF REVIEW REQUIRED,audits/a9_exact_results/a9_summary.json,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/audits/a9_exact_results/a9_summary.json,"All 5,234 representative codes audited.",Finite posets; chosen normalizations.,These functions provide legitimate ordinal coordinates on comparable pairs.,"A unique clock, calibrated time, physical duration, or preferred temporal orientation.",ORDINAL ONLY,COMBINATORICS + FOUNDATIONAL,COMPRESS TO DEFINITIONS AND ONE NONUNIQUENESS RESULT,P1,IN_REPOSITORY,
MF-R013,Clock non-uniqueness,Internal order does not select a unique scalar clock,The audited monotone clock candidates disagree on incomparable elements and differ in injectivity; 10.376457% of nontrivial n=5 codes give identical normalized values for all three.,A9,A9 canonical legacy,EXACT_ENUMERATION + COUNTEREXAMPLES,EXACT_FINITE_COMPUTATION,PROJECT-SPECIFIC FINITE NONUNIQUENESS RESULT,Order-preserving utility representations and poset dimension/rank,NOVELTY SEARCH REQUIRED ONLY FOR THE FINITE STATISTICS,audits/a9_exact_results/a9_summary.json,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/audits/a9_exact_results/a9_summary.json,"5,233 nontrivial representative codes; exact disagreement statistics.",n=5 and the three specified clock definitions.,The condensation order alone does not choose among these natural scalarizations.,"No scalar clock can ever be defined, or physical time is impossible.",ORDINAL ONLY,COMBINATORICS + FOUNDATIONAL,"KEEP AS FINITE COUNTEREVIDENCE, NOT UNIVERSAL NO-GO",P1,IN_REPOSITORY,
MF-R014,Ordinal durations,Longest-chain duration is highly but not universally additive,"For comparable triples in the n=5 audit, longest-chain duration is additive in 98.9281886% of cases; interval-volume duration is additive in 81.4576635%.",A10,A10 canonical legacy,EXACT_ENUMERATION,EXACT_FINITE_COMPUTATION,ORIGINAL FINITE STATISTICS; DEFINITIONS CLASSICAL,"Poset height, interval cardinality, ranked posets",CLAIM-SPECIFIC SEARCH PENDING,audits/a10_exact_results/a10_summary.json,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/audits/a10_exact_results/a10_summary.json,All nontrivial n=5 representative codes and comparable triples.,n=5; declared duration candidates.,Longest-chain depth is the strongest audited ordinal duration candidate at this finite size.,"Proper time, a physical metric, exact additivity in general, or continuum scaling.",ORDINAL ONLY,COMBINATORICS + FOUNDATIONAL,KEEP SELECTED NUMBERS IN COMBINATORICS PAPER,P1,IN_REPOSITORY,
MF-R015,Duration coarse-graining,No single multiplicative scale preserves all chain durations in the stated quotient example,"For a<b<c<d coarse-grained by {a,b}|{c}|{d}, fine-to-quotient duration ratios differ (1/2 and 2/3), so one multiplicative scale cannot preserve both.",A10,A10 canonical legacy,CONSTRUCTIVE_COUNTEREXAMPLE,PROVED,ELEMENTARY PROJECT-SPECIFIC COUNTEREXAMPLE,Coarse-graining of path length and quotient metrics,NOVELTY CLAIM NOT NEEDED,audits/a10_exact_results/a10_summary.json,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/audits/a10_exact_results/a10_summary.json,Exact four-element witness.,Longest-chain duration and the specified partition.,Naive quotienting does not preserve all ordinal durations by a single scale factor.,A universal impossibility for every possible duration coarse-graining.,ORDINAL / COARSE-GRAINING,FOUNDATIONAL,KEEP AS ILLUSTRATIVE COUNTEREXAMPLE,P2,IN_REPOSITORY,
MF-R016,Interval statistics,Broad interval-feature classifier did not satisfy all confirmatory gates,A broad learned classifier separated some synthetic ensembles but failed dimension-specific and finite-sample gates.,A11,A11 historical failed stage,MONTE_CARLO + MACHINE_LEARNING_PROTOCOL,FAILED_PROTOCOL,NO THEOREM OR NOVELTY CLAIM,Causal-set dimension estimators and interval abundance statistics,PRIOR LITERATURE REQUIRED FOR FEATURES,audits/a11_exact_results/a11_summary.json,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/audits/a11_exact_results/a11_summary.json,Seeded train/test protocol with failed G4 and G6.,"Declared synthetic generators, finite sizes, learned classifier.",The broad protocol was insufficient under its frozen gates.,Evidence for or against manifold emergence in nature.,MODEL-DIAGNOSTIC ONLY,SUPPLEMENT_ONLY,REMOVE FROM MAIN TEXT; RETAIN AS PROVENANCE,P3,IN_REPOSITORY,
MF-R017,Targeted synthetic discrimination,Selected interval features discriminate 2D sprinklings from selected nulls,"Under the frozen A12 generators and matching rules, the targeted classifier passed all eight gates at n=96 and n=128.",A12,A12 canonical,MONTE_CARLO + CLASSIFIER,COMPUTATIONALLY DEMONSTRATED,PROJECT-SPECIFIC NUMERICAL RESULT,Causal-set interval abundance and dimension diagnostics,METHODS LITERATURE REVIEW REQUIRED,audits/a12_exact_results/a12_summary.json,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/audits/a12_exact_results/a12_summary.json,8/8 gates; seeded paired synthetic evaluations.,Only the selected 2D and null ensembles at the tested sizes.,The feature family has targeted discriminatory power for these models.,A necessary or sufficient test for manifold-likeness.,SYNTHETIC MODEL DIAGNOSTIC,SUPPLEMENT_ONLY,SUMMARIZE BRIEFLY OR OMIT FROM FOUNDATIONAL PAPER,P3,IN_REPOSITORY,
MF-R018,Analytic interval signature,A scalar analytic interval signature failed selected null rejection,The A13 analytic discrepancy accepted 2D holdouts but did not reject transitive percolation at the required rate and failed an adversarial matching gate.,A13,A13 canonical failure,ANALYTIC_FORMULA + MONTE_CARLO,FAILED_PROTOCOL,NO NOVELTY CLAIM BEYOND DOCUMENTED FAILURE,Causal-set interval abundance formulas,CLASSICAL FORMULA ATTRIBUTION REQUIRED,audits/a13_exact_results/a13_summary.json,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/audits/a13_exact_results/a13_summary.json,7/9 gates; exact normalization and Monte Carlo validation passed.,Declared reference and null generators.,The tested scalar signature is insufficient.,A general impossibility theorem for analytic signatures.,SYNTHETIC MODEL DIAGNOSTIC,SUPPLEMENT_ONLY,MOVE TO FAILURE HISTORY,P3,IN_REPOSITORY,
MF-R019,Covariance-aware interval signature,A covariance-aware multivariate signature passed its targeted model checks,A Mahalanobis-type interval signature calibrated only on reference samples passed all nine A14 gates against selected nulls.,A14,A14 canonical but insufficient after A15,MONTE_CARLO MODEL CHECK,COMPUTATIONALLY DEMONSTRATED,PROJECT-SPECIFIC NUMERICAL RESULT,Multivariate goodness-of-fit and causal-set interval statistics,METHODS LITERATURE REVIEW REQUIRED,audits/a14_exact_results/a14_summary.json,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/audits/a14_exact_results/a14_summary.json,9/9 frozen gates across declared sizes and nulls.,Finite synthetic ensembles; selected bins and covariance estimator.,The signature is a useful necessary model check against those nulls.,A sufficient certificate of 2D embeddability or manifold-likeness.,SYNTHETIC MODEL DIAGNOSTIC,SUPPLEMENT_ONLY,PRESENT ONLY TO MOTIVATE THE COUNTEREXAMPLE,P3,IN_REPOSITORY,
MF-R020,Certified obstruction,Global interval statistics can accept orders with local non-2D obstructions,A15 inserts certified S3-type obstruction gadgets into transitive orders and finds prospective false positives for the A14 global signature.,A15,A15 canonical,CONSTRUCTIVE_COUNTEREXAMPLE + MONTE_CARLO SEARCH,COMPUTATIONALLY CERTIFIED COUNTEREXAMPLE FAMILY,PROJECT-SPECIFIC COUNTEREXAMPLE; CONSTRUCTION MAY BE ORIGINAL,Order dimension; forbidden subposets; causal-set manifold-likeness tests,DEDICATED NOVELTY SEARCH REQUIRED,audits/a15_exact_results/a15_summary.json,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/audits/a15_exact_results/a15_summary.json,"Prospective confirmation and obstruction certificates; 7/8 gates, with density matching intentionally not always met.",Specific gadget construction and global signature.,Passing the global interval statistic is not sufficient for local 2D order structure.,A complete forbidden-suborder characterization of manifold-likeness.,SYNTHETIC STRUCTURAL COUNTEREXAMPLE,FOUNDATIONAL METHODS / SUPPLEMENT,KEEP AS THE MAIN LESSON OF A12-A17,P2,IN_REPOSITORY,
MF-R021,Local-global diagnostics,Local and global checks still admitted clustered exact 2D counterexamples,The A16 complementarity protocol detected several planted defects but failed to reject the bimodal exact-2D family under its target gate.,A16,A16 canonical failure,MONTE_CARLO PROTOCOL,FAILED_PROTOCOL,NO GENERAL NOVELTY CLAIM,Local versus global goodness-of-fit diagnostics,METHODS SEARCH OPTIONAL,audits/a16_exact_results/a16_summary.json,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/audits/a16_exact_results/a16_summary.json,9/10 gates; targeted bimodal rejection failed.,Specified local channels and synthetic families.,Adding local checks did not solve the selected global-signature ambiguity.,That local diagnostics can never complement global statistics.,SYNTHETIC MODEL DIAGNOSTIC,SUPPLEMENT_ONLY,REMOVE FROM MAIN TEXT; RETAIN AS DEVELOPMENT HISTORY,P3,IN_REPOSITORY,
MF-R022,Multiscale diagnostics,Multiscale self-similarity detects some heterogeneous regimes but not compact clustering,A17 rejected the opposing-diagonal regime but accepted most bimodal and four-corner exact 2D challenges.,A17,A17 canonical failure,MONTE_CARLO PROTOCOL,FAILED / PARTIAL NUMERICAL RESULT,PROJECT-SPECIFIC NUMERICAL FINDING,Multiscale goodness-of-fit and self-similarity tests,METHODS SEARCH OPTIONAL,audits/a17_exact_results/a17_summary.json,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/audits/a17_exact_results/a17_summary.json,6/9 gates; challenge families were exact 2D orders.,"Declared scales, calibration, and synthetic families.",The tested multiscale statistic is sensitive to some regime heterogeneity but not to all compact mixtures.,A universal multiscale no-go.,SYNTHETIC MODEL DIAGNOSTIC,SUPPLEMENT_ONLY,"KEEP AS NEGATIVE METHOD RESULT, NOT CORE THEORY",P3,IN_REPOSITORY,
MF-R023,Order-measure identifiability,Strict coordinatewise monotone transforms preserve product order,"For latent coordinates x,y, replacing each coordinate by a strictly increasing function leaves every pairwise product-order comparison unchanged.",A18.2,A18.2 canonical,CLASSICAL_IDENTITY + SOFTWARE_REGRESSION,PROVED / DEFINITIONAL,"CLASSICAL; ATTRIBUTE, DO NOT CLAIM NUMERICAL VALIDATION AS EVIDENCE",Order isomorphisms; probability integral transform,CLASSICAL ATTRIBUTION REQUIRED,audits/a18_2_exact_results/a18_summary.json,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/audits/a18_2_exact_results/a18_summary.json,270 paired transforms verified implementation invariance.,Strictly increasing coordinate transforms.,Order-only data are invariant under monotone recalibration of latent marginals.,A new theorem established by 270 simulations.,IDENTIFIABILITY RESULT,FOUNDATIONAL,REPLACE AUDIT EMPHASIS WITH A SHORT PROOF,P0,IN_REPOSITORY,
MF-R024,Copula identifiability,"The induced order law depends on the copula, not continuous marginals","For fixed copula C, continuous strictly increasing marginal changes leave the ensemble law of the induced coordinatewise order unchanged.",A19,A19 canonical,DIRECT_COROLLARY OF SKLAR,PROVED,CLASSICAL COROLLARY APPLIED TO PREGEOMETRY,Sklar's theorem and copula invariance,CLASSICAL ATTRIBUTION REQUIRED,audits/a19_exact_results/a19_theorem.md,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/audits/a19_exact_results/a19_theorem.md,Seeded ensemble checks support implementation only.,Continuous marginals and fixed copula.,Order observations cannot identify latent marginal scales within a fixed copula class.,A new copula theorem or recovery of spacetime measure from order alone.,IDENTIFIABILITY RESULT,FOUNDATIONAL,KEEP AS CLASSICAL PILLAR WITH CLEAR ATTRIBUTION,P0,IN_REPOSITORY,
MF-R025,Order-only no-go,No deterministic order-only estimator can distinguish monotone-equivalent latent models,"If two latent models induce the same finite relation matrix, every deterministic function of that matrix and its relabel-invariant observables gives the same output.","A18.2, A19",A18.2/A19 canonical,IDENTIFIABILITY_THEOREM,PROVED,DIRECT INFORMATION-THEORETIC COROLLARY; FRAMEWORK APPLICATION,Statistical identifiability and invariance,NOVELTY CLAIM SHOULD BE MODEST,audits/a18_2_exact_results/a18_summary.json,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/audits/a18_2_exact_results/a18_summary.json,Exact paired constructions and implementation checks.,Estimator receives only the relation/order object.,Additional non-order information is necessary to identify latent marginal quantities.,That every physically relevant measure is forever unrecoverable from any enriched relational model.,FOUNDATIONAL NO-GO,FOUNDATIONAL,"KEEP AS CENTRAL, BUT LABEL AS IDENTIFIABILITY COROLLARY",P0,IN_REPOSITORY,
MF-R026,Endogenous symmetry breaking,Equivariant endogenous dynamics preserve observational equivalence,"If two initial states are related by a symmetry and the complete update law and noise coupling are equivariant, their trajectories remain symmetry-related and invariant observables remain equal.","A20, A21",A21 canonical,EQUIVARIANCE_THEOREM,PROVED UNDER STATED ASSUMPTIONS,LIKELY STANDARD GROUP-EQUIVARIANCE PRINCIPLE; PROJECT APPLICATION,Equivariant dynamical systems and coupling arguments,DEDICATED NOVELTY SEARCH REQUIRED; EXPECT CLASSICAL,audits/a21_exact_results/a21_theorem.md,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/audits/a21_exact_results/a21_theorem.md,Seeded trajectory pairs and gate tests.,"Full state, update, initialization, and noise law respect the same transformation.",Purely endogenous equivariant evolution cannot break the targeted order-preserving symmetry.,"That dynamics can never break symmetry when stochastic laws, boundary conditions, or new primitives are non-equivariant.",FOUNDATIONAL NO-GO,FOUNDATIONAL,KEEP AS CONDITIONAL THEOREM WITH GROUP-THEORY ATTRIBUTION,P1,IN_REPOSITORY,
MF-R027,External calibration witness,A calibrated non-invariant mark can break order degeneracy,A binary mark defined by a fixed external threshold distinguishes monotone-equivalent latent representations when the threshold is not transformed covariantly.,A22,A22 canonical,CONSTRUCTIVE_WITNESS,PROVED BY CONSTRUCTION,ELEMENTARY / PROJECT-SPECIFIC,Ancillary statistics and symmetry-breaking reference structures,NOVELTY CLAIM NOT NEEDED,audits/a22_exact_results/a22_theorem.md,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/audits/a22_exact_results/a22_theorem.md,Synthetic witnesses and admissibility gates.,The mark is genuinely calibrated and independent of the order-only data.,Additional calibrated structure can break the degeneracy.,That the required calibration has been physically derived.,FOUNDATIONAL WITNESS,FOUNDATIONAL,KEEP TO CLARIFY WHAT INFORMATION IS MISSING,P1,IN_REPOSITORY,
MF-R028,Relative quantitative field,An independent q field can evade the order-only identifiability limit,"If q contains cardinal contrasts not measurable from the order, q differences can distinguish states that the order alone identifies.",A23,A23 canonical,CONDITIONAL_PROPOSITION,PROVED CONDITIONALLY,FRAMEWORK-SPECIFIC CONSEQUENCE,Marked relational structures and gauge fields,"NOVELTY SEARCH REQUIRED FOR FORMULATION, NOT BASIC LOGIC",audits/a23_exact_results/a23_theorem.md,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/audits/a23_exact_results/a23_theorem.md,Constructed paired states and gauge tests.,"q is an additional primitive, not secretly computed from the order.",q can supply relative quantitative information absent from order.,That the physical origin or empirical meaning of q has been derived.,FOUNDATIONAL PRIMITIVE,FOUNDATIONAL,KEEP AS CORE DEFINITIONAL STEP,P0,IN_REPOSITORY,
MF-R029,q gauge,Global q offset is unobservable under contrast-only constructions,q_i -> q_i + c leaves centered contrasts and suitably normalized q-shape observables unchanged.,A23,A23 canonical,DIRECT_COROLLARY FROM DEFINITIONS,PROVED,DEFINITIONAL; NO NOVELTY CLAIM,Gauge redundancy and affine reparameterization,ATTRIBUTION OPTIONAL; DEFINE PRECISELY,audits/a23_exact_results/a23_theorem.md,https://github.com/DevHabito/precategorical-modal-field-framework/blob/main/audits/a23_exact_results/a23_theorem.md,Exact numerical gauge tests.,Only contrast- or normalized-q observables are admitted.,The current construction determines q only up to a global offset.,"A deep independent no-go, or proof that nature has this gauge.",FOUNDATIONAL GAUGE CONTRACT,FOUNDATIONAL,"STATE AS CONTRACT, NOT DISCOVERY",P0,IN_REPOSITORY,
